Welcome to the profile statistics browser.
cProfiled.rmm.pool% cProfiled.rmm.pool% Wed May 11 16:21:45 2022    cProfiled.rmm.pool

         11575143 function calls (11544055 primitive calls) in 75.363 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupyx/scipy/sparse/sputils.py:5(<listcomp>)
        2    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/urllib/parse.py:114(_coerce_args)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/discrete/discrete_model.py:4434(MultinomialResultsWrapper)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/dateutil/tz/_common.py:267(tzrangebase)
        3    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/base.py:1257(enter_fn)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/tsa/ar_model.py:1847(AROrderSelectionResults)
        2    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/fsspec/utils.py:97(update_storage_options)
        2    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/computation/expr.py:127(_compose)
        5    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/packaging/version.py:87(__ge__)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/sparse/_arrays.py:10(_sparray)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/asyncio/unix_events.py:436(_UnixReadPipeTransport)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/unittest/suite.py:92(TestSuite)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/fsspec/mapping.py:7(FSMap)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cudf/core/df_protocol.py:38(_Device)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/io/common.py:77(IOHandles)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/multivariate/factor_rotation/_analytic_rotation.py:2(<module>)
       13    0.000    0.000    0.000    0.000 cuda/_lib/utils.pyx:48(lambda)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/lz4/frame/__init__.py:425(LZ4FrameFile)
        2    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pyarrow/fs.py:57(__getattr__)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/typing/cmathdecl.py:13(CMath_unary)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/generic.py:3837(_set_is_copy)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/genmod/cov_struct.py:395(Nested)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/typing/builtins.py:376(<listcomp>)
        4    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/stats/_axis_nan_policy.py:139(_axis_nan_policy_factory)
        1    0.000    0.000    0.001    0.001 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pkg_resources/__init__.py:3010(DistInfoDistribution)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/google/protobuf/internal/well_known_types.py:583(_FieldMaskTree)
        6    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/internals/blocks.py:348(iget)
        3    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pkg_resources/__init__.py:1891(has_metadata)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/internals/blocks.py:1797(ObjectBlock)
       16    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/core/fromnumeric.py:3165(_size_dispatcher)
       19    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/util/version/__init__.py:534(<lambda>)
        1    0.000    0.000    0.006    0.006 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/cuda/simulator/cudadrv/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/random/_generator.py:1234(_check_and_get_dtype)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/io/excel/_odswriter.py:18(ODSWriter)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/emplike/descriptive.py:466(DescStatUV)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/dateutil/parser/_parser.py:241(parserinfo)
        2    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/joblib/compressor.py:153(__init__)
        3    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/tools/decorators.py:106(__set__)
        3    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/cuda/cudadecl.py:350(Cuda_fp16_binary)
       12    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pkg_resources/_vendor/packaging/version.py:305(<genexpr>)
        2    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/stats/_lilliefors.py:168(<listcomp>)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/lz4/frame/__init__.py:298(LZ4FrameDecompressor)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/imputils.py:16(Registry)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/llvmlite/binding/executionengine.py:41(ExecutionEngine)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/spatial/distance.py:1951(<dictcomp>)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/genmod/families/family.py:841(Binomial)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/fsspec/_version.py:20(get_versions)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pkg_resources/_vendor/packaging/markers.py:275(Marker)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/llvmlite/binding/ffi.py:201(register_lock_callback)
        9    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/internals/base.py:43(<genexpr>)
        3    0.000    0.000    0.011    0.004 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/typeconv/typeconv.py:110(unsafe_unsafe)
        1    0.000    0.000    0.028    0.028 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cudf/core/udf/__init__.py:1(<module>)
        3    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/registry.py:103(check)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pkg_resources/_vendor/pyparsing.py:3256(ParseExpression)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/joblib/parallel.py:414(Parallel)
       16    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cudf/core/udf/lowering.py:181(make_const_op)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/calendar.py:50(_localized_month)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/typing/builtins.py:720(NumberAttribute)
        3    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/lib/index_tricks.py:317(__init__)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/core/_internal.py:217(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/ssl.py:168(_TLSContentType)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/uuid.py:78(SafeUUID)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/postproc.py:30(VariableLifetime)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/selectors.py:203(__exit__)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/sandbox/stats/multicomp.py:609(TukeyHSDResults)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/arrays/base.py:1327(ExtensionOpsMixin)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/cuda/cudadrv/driver.py:1137(_PendingDeallocs)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/io/formats/format.py:931(DataFrameRenderer)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/iolib/summary.py:737(Summary)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/genmod/families/family.py:1263(NegativeBinomial)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:948(_sanity_check)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/psutil/_pslinux.py:800(__init__)
       18    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/packaging/version.py:432(_parse_local_version)
        1    0.000    0.000    0.001    0.001 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/cuda/cudadrv/devices.py:27(<listcomp>)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/types/npytypes.py:548(NestedArray)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/email/_parseaddr.py:207(AddrlistClass)
        4    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/stats/_axis_nan_policy.py:322(<listcomp>)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/sparse/linalg/_eigen/lobpcg/__init__.py:12(<listcomp>)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/stats/_multivariate.py:351(__init__)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/io/formats/csvs.py:308(<listcomp>)
        3    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/base/data.py:431(_check_integrity)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/asyncio/subprocess.py:18(SubprocessStreamProtocol)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/typing/builtins.py:377(<listcomp>)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/signal/_arraytools.py:1(<module>)
        3    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/tqdm/utils.py:101(wrapper_setattr)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/sigutils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/dateutil/tz/_factories.py:56(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method posix.unsetenv}
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/_lib/_docscrape.py:25(Reader)
        9    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/core/_internal.py:835(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/types/containers.py:411(List)
        3    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/base/wrapper.py:14(__init__)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/_lib/doccer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/discrete/discrete_margins.py:410(DiscreteMargins)
        2    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/_weakrefset.py:17(__init__)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/cpu_options.py:7(AbstractOptionValue)
        2    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/internals/blocks.py:238(mgr_locs)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/tsa/regime_switching/markov_autoregression.py:19(MarkovAutoregression)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/typeinfer.py:210(ArgConstraint)
        5    0.000    0.000    0.000    0.000 {built-in method math.log}
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/_lib/_ccallback.py:26(LowLevelCallable)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/tsa/arima/model.py:493(ARIMAResults)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cudf/utils/ioutils.py:1202(_get_filesystem_and_paths)
        5    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/tools/docstring.py:157(__iter__)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/typing/cmathdecl.py:44(Cmath_log)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/asyncio/unix_events.py:47(_UnixSelectorEventLoop)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/cuda/cudadrv/error.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pkg_resources/__init__.py:3245(_initialize)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/cuda/cudadrv/driver.py:809(HostOnlyCUDAMemoryManager)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/cuda/cudadecl.py:143(CudaCgModuleTemplate)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/window/rolling.py:558(BaseWindowGroupby)
        3    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/iolib/summary.py:753(__init__)
        2    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/logging/__init__.py:1601(addHandler)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cudf/utils/utils.py:147(_is_nep18_active)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/computation/pytables.py:55(Term)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/arrays/datetimelike.py:1529(DatelikeOps)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/tools/docstring.py:28(Reader)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/np/ufunc/ufuncbuilder.py:317(GUFuncBuilder)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/subprocess.py:1158(poll)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/selectors.py:81(BaseSelector)
        1    0.000    0.000    0.010    0.010 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/yaml/reader.py:45(Reader)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/stats/_continuous_distns.py:9272(rv_histogram)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/optimize/_trustregion_exact.py:186(IterativeSubproblem)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/multiprocessing/synchronize.py:360(Barrier)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/untyped_passes.py:739(MixedContainerUnroller)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/llvmlite/ir/instructions.py:543(PhiInstr)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/tsa/vector_ar/vecm.py:833(VECM)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/tsa/ar_model.py:1667(AutoRegResultsWrapper)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/h5py/_hl/selections.py:85(Selection)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/callconv.py:326(CPUCallConv)
        2    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/ma/core.py:6532(__setattr__)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/psutil/_common.py:614(__init__)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/genmod/families/family.py:369(Poisson)
        8    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/typing.py:767(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/selectors.py:64(__init__)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/tsa/arima/model.py:521(ARIMAResultsWrapper)
        2    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/datetime.py:823(__new__)
        6    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/imputils.py:115(decorate)
       12    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/sre_parse.py:162(__delitem__)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/signal/_ltisys.py:47(LinearTimeInvariant)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/debuginfo.py:28(AbstractDIBuilder)
        3    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/importlib/metadata.py:401(__init__)
        3    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/dtypes/common.py:1409(is_1d_only_ea_dtype)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/stats/_continuous_distns.py:6484(pareto_gen)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pkg_resources/__init__.py:1116(ResourceManager)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/google/protobuf/message.py:35(<module>)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/_core/_fusion_interface.py:207(_ArrayProxy)
       14    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupyx/scipy/fft/_fft.py:70(_implements)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/rmm/rmm.py:102(RMMNumbaManager)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/serialize.py:196(ReduceMixin)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/stats/_multivariate.py:1619(wishart_gen)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/hmac.py:27(HMAC)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/joblib/externals/loky/backend/process.py:14(LokyProcess)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/joblib/memory.py:189(MemorizedResult)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/asyncio/coroutines.py:36(CoroWrapper)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/plistlib.py:164(_PlistParser)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/spatial/_spherical_voronoi.py:37(SphericalVoronoi)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/window/indexers.py:100(VariableWindowIndexer)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/types/misc.py:26(Undefined)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/typing/templates.py:512(_OverloadFunctionTemplate)
        1    0.000    0.000    1.209    1.209 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/ptxcompiler/patch.py:143(patch_numba_codegen_if_needed)
        3    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/regression/linear_model.py:1850(bic)
