Welcome to the profile statistics browser.
cProfiled.rmm.pool% cProfiled.rmm.pool% Wed May 11 16:21:45 2022    cProfiled.rmm.pool

         11575143 function calls (11544055 primitive calls) in 75.363 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    17136    0.040    0.000    0.086    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/linalg/_einsum.py:171(_parse_ellipsis_subscript)
     4824    0.039    0.000    0.039    0.000 /home/uvxj3hd/.local/src/mcmc-staggered-board/run/gpu-v0.1/likelifun1.py:272(log_prior)
      103    0.039    0.000    0.039    0.000 {built-in method _hashlib.openssl_md5}
      643    0.038    0.000   63.132    0.098 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/emcee/ensemble.py:451(compute_log_prob)
    22854    0.037    0.000    0.045    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/_manipulation/shape.py:6(shape)
     9826    0.037    0.000    0.037    0.000 {built-in method __new__ of type object at 0x560977b7b300}
    41408    0.036    0.000    0.055    0.000 {built-in method builtins.max}
     2273    0.035    0.000    0.035    0.000 {method 'findall' of 're.Pattern' objects}
     5712    0.034    0.000    0.034    0.000 {built-in method cupy._core.internal._broadcast_shapes}
     3803    0.034    0.000    0.038    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/lib/function_base.py:1164(diff)
      418    0.034    0.000    0.034    0.000 {built-in method builtins.compile}
     5715    0.033    0.000    0.195    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/_creation/basic.py:7(empty)
    40115    0.033    0.000    0.251    0.000 {built-in method builtins.sorted}
     2156    0.033    0.000    0.033    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     4248    0.033    0.000    0.072    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pkg_resources/_vendor/packaging/version.py:261(__init__)
      133    0.032    0.000    0.033    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pkg_resources/_vendor/pyparsing.py:3260(__init__)
    49508    0.031    0.000    0.031    0.000 {built-in method cupy._core.internal.prod}
     5712    0.031    0.000    2.256    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/linalg/_product.py:16(matmul)
      202    0.030    0.000    0.030    0.000 {built-in method posix.open}
  873/215    0.030    0.000    0.081    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/sre_parse.py:493(_parse)
    30472    0.029    0.000    0.029    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/linalg/_product.py:436(_move_axes_to_head)
45793/45771    0.028    0.000    0.038    0.000 {built-in method builtins.getattr}
